epoch,num_episodes,mean_length,max_length,total_reward,max_reward,mean_reward
0,296,422.297297297,759,3052.0,10.3108108108,12.0
1,623,200.642054575,252,1279.0,2.05296950241,3.0
2,607,205.930807249,479,1405.0,2.31466227348,10.0
3,299,418.060200669,888,2876.0,9.61872909699,12.0
4,553,226.039783002,406,1596.0,2.88607594937,9.0
5,266,469.92481203,660,2700.0,10.1503759398,19.0
6,231,541.125541126,1049,3212.0,13.9047619048,35.0
7,199,628.140703518,961,4092.0,20.5628140704,36.0
8,211,592.417061611,1018,4513.0,21.3886255924,45.0
9,166,753.012048193,1110,4310.0,25.9638554217,48.0
10,163,766.871165644,1254,4178.0,25.6319018405,53.0
11,156,801.282051282,1467,3991.0,25.5833333333,79.0
12,117,1068.37606838,1552,5267.0,45.0170940171,180.0
13,109,1146.78899083,1778,5304.0,48.6605504587,118.0
14,150,833.333333333,1410,4183.0,27.8866666667,63.0
15,103,1213.59223301,1746,6150.0,59.7087378641,113.0
16,113,1106.19469027,1718,5207.0,46.0796460177,112.0
17,103,1213.59223301,1708,6168.0,59.8834951456,109.0
18,94,1329.78723404,1723,6759.0,71.9042553191,127.0
19,93,1344.08602151,1817,7211.0,77.5376344086,236.0
20,88,1420.45454545,1891,8553.0,97.1931818182,341.0
21,97,1288.65979381,1905,7530.0,77.6288659794,251.0
22,93,1344.08602151,1915,8598.0,92.4516129032,310.0
23,112,1116.07142857,1815,6536.0,58.3571428571,290.0
24,90,1388.88888889,1888,8453.0,93.9222222222,306.0
25,88,1420.45454545,1898,9260.0,105.227272727,308.0
26,88,1420.45454545,1985,10646.0,120.977272727,369.0
27,89,1404.49438202,1863,12728.0,143.011235955,350.0
28,91,1373.62637363,1952,9704.0,106.637362637,320.0
29,92,1358.69565217,2083,9760.0,106.086956522,349.0
30,80,1562.5,1993,12250.0,153.125,298.0
31,107,1168.22429907,1804,8365.0,78.1775700935,323.0
32,79,1582.27848101,2438,14650.0,185.443037975,363.0
33,89,1404.49438202,1988,10715.0,120.393258427,301.0
34,81,1543.20987654,2135,11401.0,140.75308642,328.0
35,261,478.927203065,1610,5326.0,20.4061302682,183.0
36,101,1237.62376238,2187,9150.0,90.5940594059,321.0
37,116,1077.5862069,1957,7985.0,68.8362068966,358.0
38,81,1543.20987654,2005,13647.0,168.481481481,385.0
39,137,912.408759124,1926,5764.0,42.0729927007,283.0
40,81,1543.20987654,2127,13567.0,167.49382716,351.0
41,122,1024.59016393,2009,7363.0,60.3524590164,288.0
42,80,1562.5,2412,13856.0,173.2,352.0
43,96,1302.08333333,1895,9273.0,96.59375,319.0
44,80,1562.5,2183,15040.0,188.0,353.0
45,85,1470.58823529,2111,13690.0,161.058823529,373.0
46,83,1506.02409639,2189,13285.0,160.060240964,325.0
47,86,1453.48837209,2004,10385.0,120.755813953,331.0
48,80,1562.5,2001,13521.0,169.0125,334.0
49,76,1644.73684211,2187,16126.0,212.184210526,349.0
50,98,1275.51020408,2086,10803.0,110.234693878,339.0
51,82,1524.3902439,2357,16377.0,199.719512195,370.0
52,80,1562.5,2150,16038.0,200.475,373.0
53,92,1358.69565217,2215,11181.0,121.532608696,376.0
54,85,1470.58823529,2070,14698.0,172.917647059,354.0
55,91,1373.62637363,2159,13031.0,143.197802198,370.0
56,154,811.688311688,1683,4414.0,28.6623376623,276.0
57,85,1470.58823529,2352,14371.0,169.070588235,368.0
58,200,625.0,1346,3211.0,16.055,79.0
59,86,1453.48837209,2051,14817.0,172.290697674,345.0
60,75,1666.66666667,2177,15364.0,204.853333333,363.0
61,77,1623.37662338,2245,16310.0,211.818181818,397.0
62,114,1096.49122807,1867,7328.0,64.2807017544,326.0
63,86,1453.48837209,2538,13954.0,162.255813953,371.0
64,86,1453.48837209,2172,15829.0,184.058139535,398.0
65,136,919.117647059,1797,9963.0,73.2573529412,343.0
66,89,1404.49438202,2056,11930.0,134.04494382,375.0
67,87,1436.7816092,2108,13362.0,153.586206897,345.0
68,92,1358.69565217,2049,14848.0,161.391304348,355.0
69,86,1453.48837209,2038,14710.0,171.046511628,406.0
70,79,1582.27848101,2244,14825.0,187.658227848,371.0
71,100,1250.0,1858,11935.0,119.35,357.0
72,93,1344.08602151,2605,16030.0,172.365591398,393.0
73,108,1157.40740741,2031,12819.0,118.694444444,396.0
74,85,1470.58823529,2142,15263.0,179.564705882,408.0
75,97,1288.65979381,1932,12023.0,123.948453608,428.0
76,88,1420.45454545,2151,15227.0,173.034090909,399.0
77,101,1237.62376238,1855,11083.0,109.732673267,365.0
78,92,1358.69565217,2006,13935.0,151.467391304,389.0
79,97,1288.65979381,2100,16078.0,165.75257732,363.0
80,85,1470.58823529,2361,17428.0,205.035294118,373.0
81,105,1190.47619048,2193,13619.0,129.704761905,404.0
82,95,1315.78947368,2441,13044.0,137.305263158,366.0
83,118,1059.3220339,1918,8807.0,74.6355932203,344.0
84,89,1404.49438202,1983,15784.0,177.348314607,421.0
85,96,1302.08333333,2145,16432.0,171.166666667,409.0
86,84,1488.0952381,2208,19124.0,227.666666667,401.0
87,84,1488.0952381,2295,19929.0,237.25,415.0
88,105,1190.47619048,2081,19586.0,186.533333333,399.0
89,93,1344.08602151,2169,17694.0,190.258064516,384.0
90,97,1288.65979381,2466,12363.0,127.453608247,421.0
91,93,1344.08602151,2130,17473.0,187.88172043,393.0
92,108,1157.40740741,1831,11770.0,108.981481481,383.0
93,103,1213.59223301,1864,17063.0,165.660194175,386.0
94,96,1302.08333333,2257,16033.0,167.010416667,388.0
95,101,1237.62376238,2102,15380.0,152.277227723,415.0
96,119,1050.42016807,1705,15418.0,129.56302521,380.0
97,107,1168.22429907,2346,22543.0,210.682242991,419.0
98,101,1237.62376238,2137,12802.0,126.752475248,390.0
99,127,984.251968504,1615,8377.0,65.9606299213,392.0
100,88,1420.45454545,2002,16760.0,190.454545455,406.0
101,132,946.96969697,1850,13244.0,100.333333333,361.0
102,90,1388.88888889,3452,17096.0,189.955555556,417.0
103,105,1190.47619048,2688,17570.0,167.333333333,421.0
104,115,1086.95652174,1918,18668.0,162.330434783,415.0
105,111,1126.12612613,1997,14673.0,132.189189189,393.0
106,109,1146.78899083,1807,16342.0,149.926605505,412.0
107,105,1190.47619048,1955,17183.0,163.647619048,403.0
108,111,1126.12612613,1858,14997.0,135.108108108,378.0
109,112,1116.07142857,3454,14713.0,131.366071429,410.0
110,124,1008.06451613,2301,15234.0,122.85483871,417.0
111,110,1136.36363636,2481,23224.0,211.127272727,432.0
112,111,1126.12612613,2129,27609.0,248.72972973,426.0
113,121,1033.05785124,1729,12367.0,102.20661157,316.0
114,121,1033.05785124,1831,23012.0,190.181818182,398.0
115,129,968.992248062,1675,24083.0,186.689922481,416.0
116,206,606.796116505,1579,12844.0,62.3495145631,403.0
117,137,912.408759124,2749,20396.0,148.875912409,408.0
118,148,844.594594595,1880,19656.0,132.810810811,387.0
119,137,912.408759124,1526,22274.0,162.583941606,383.0
120,149,838.926174497,1407,21581.0,144.838926174,391.0
121,116,1077.5862069,2026,29676.0,255.827586207,418.0
122,124,1008.06451613,1874,27840.0,224.516129032,402.0
123,104,1201.92307692,1948,24775.0,238.221153846,407.0
124,119,1050.42016807,1940,25958.0,218.134453782,390.0
125,117,1068.37606838,1794,26905.0,229.957264957,402.0
126,141,886.524822695,1587,19878.0,140.978723404,380.0
127,136,919.117647059,2058,24287.0,178.580882353,417.0
128,172,726.744186047,1484,19474.0,113.220930233,394.0
129,126,992.063492063,2096,28760.0,228.253968254,423.0
130,108,1157.40740741,2462,29488.0,273.037037037,439.0
131,114,1096.49122807,1810,28982.0,254.228070175,419.0
132,163,766.871165644,1528,17387.0,106.668711656,404.0
133,147,850.340136054,1718,28961.0,197.013605442,411.0
134,134,932.835820896,1622,26874.0,200.552238806,420.0
135,130,961.538461538,2128,28286.0,217.584615385,422.0
136,136,919.117647059,1674,26207.0,192.698529412,422.0
137,189,661.375661376,1464,11653.0,61.6560846561,383.0
138,133,939.84962406,1632,28629.0,215.255639098,413.0
139,128,976.5625,1804,26350.0,205.859375,411.0
140,133,939.84962406,1516,24153.0,181.601503759,410.0
141,116,1077.5862069,1776,26447.0,227.99137931,414.0
