epoch,num_episodes,mean_length,max_length,total_reward,max_reward,mean_reward
0,157,796.178343949,1536,23065.0,146.910828025,620.0
1,146,856.164383562,1579,30880.0,211.506849315,660.0
2,206,606.796116505,1269,25490.0,123.737864078,605.0
3,152,822.368421053,1682,32670.0,214.934210526,720.0
4,196,637.755102041,1661,37260.0,190.102040816,575.0
5,175,714.285714286,1650,30745.0,175.685714286,605.0
6,178,702.247191011,1366,36465.0,204.859550562,575.0
7,201,621.890547264,1522,44765.0,222.711442786,555.0
8,203,615.763546798,1399,48410.0,238.472906404,695.0
9,149,838.926174497,1424,50070.0,336.040268456,830.0
10,158,791.139240506,1600,49710.0,314.620253165,755.0
11,143,874.125874126,1600,55840.0,390.48951049,885.0
12,163,766.871165644,1468,59255.0,363.527607362,775.0
13,138,905.797101449,1661,55425.0,401.630434783,895.0
14,148,844.594594595,1332,61910.0,418.310810811,775.0
15,134,932.835820896,2072,55810.0,416.492537313,915.0
16,176,710.227272727,1424,55030.0,312.670454545,755.0
17,128,976.5625,1792,56240.0,439.375,800.0
18,124,1008.06451613,1723,61935.0,499.475806452,880.0
19,117,1068.37606838,2212,63635.0,543.888888889,1125.0
20,114,1096.49122807,1957,60820.0,533.50877193,975.0
21,109,1146.78899083,2142,63385.0,581.513761468,1020.0
22,109,1146.78899083,2179,66815.0,612.981651376,1450.0
23,90,1388.88888889,2611,63590.0,706.555555556,1435.0
24,110,1136.36363636,2284,67150.0,610.454545455,1305.0
25,109,1146.78899083,2451,67360.0,617.981651376,1370.0
26,107,1168.22429907,2298,66670.0,623.08411215,1160.0
27,109,1146.78899083,1568,56720.0,520.366972477,805.0
28,101,1237.62376238,2693,65270.0,646.237623762,1295.0
29,101,1237.62376238,2297,68185.0,675.099009901,1470.0
30,100,1250.0,2360,66355.0,663.55,1425.0
31,86,1453.48837209,2580,69530.0,808.488372093,1635.0
32,98,1275.51020408,2425,69205.0,706.173469388,1635.0
33,98,1275.51020408,2441,67600.0,689.795918367,1415.0
34,115,1086.95652174,2317,69575.0,605.0,1345.0
35,101,1237.62376238,2379,68995.0,683.118811881,1375.0
36,105,1190.47619048,2426,65205.0,621.0,1275.0
37,105,1190.47619048,2244,72265.0,688.238095238,1525.0
38,113,1106.19469027,2348,74435.0,658.716814159,1400.0
39,103,1213.59223301,2369,70890.0,688.252427184,1405.0
40,101,1237.62376238,2314,71365.0,706.584158416,1355.0
41,106,1179.24528302,2508,67135.0,633.349056604,1430.0
42,109,1146.78899083,1947,61595.0,565.091743119,1145.0
43,99,1262.62626263,2260,72770.0,735.050505051,1545.0
44,87,1436.7816092,2296,70890.0,814.827586207,1345.0
45,94,1329.78723404,2407,69295.0,737.180851064,1555.0
46,105,1190.47619048,2269,71020.0,676.380952381,1345.0
47,108,1157.40740741,2143,60140.0,556.851851852,1175.0
48,103,1213.59223301,2293,72935.0,708.106796117,1600.0
49,103,1213.59223301,2540,37835.0,367.330097087,1320.0
50,94,1329.78723404,2370,73770.0,784.787234043,1400.0
51,99,1262.62626263,2463,73000.0,737.373737374,1405.0
52,92,1358.69565217,2655,71560.0,777.826086957,1600.0
53,96,1302.08333333,2432,72680.0,757.083333333,1530.0
54,101,1237.62376238,2953,76830.0,760.693069307,1835.0
55,85,1470.58823529,2812,71390.0,839.882352941,1845.0
56,100,1250.0,2227,72065.0,720.65,1605.0
57,91,1373.62637363,2753,70300.0,772.527472527,1840.0
58,95,1315.78947368,2367,73255.0,771.105263158,1485.0
59,92,1358.69565217,2302,70975.0,771.467391304,1435.0
60,90,1388.88888889,2484,66215.0,735.722222222,1430.0
61,87,1436.7816092,2407,68540.0,787.816091954,1780.0
